[12:21] 各位线上的朋友大家午安
[36:22] 可以上网去Google去搜寻
[36:24] 就是一天一AI
[36:25] 来下载订阅维山这个产品
[36:27] 因为他现在收到
[36:28] 非常多来自各行各业的
[36:29] 这些读者
[36:31] 针对这个一天一AI
[36:32] 提供给他各种经验
[36:33] 那这里面有听到
[36:34] 有这个放射科医师
[36:36] 有可能是这个小学老师等等
[36:38] 都把他们想要学AI
[36:41] 或使用AI的一些心得
[36:42] 或者碰到一些难题
[36:43] 来跟维山交流
[36:45] 那一方面是给Feedback
[36:46] 一方面也提出他们的问题
[36:47] 希望维山可以在
[36:48] 一天一AI的后面的这个
[36:50] 电子报里面
[36:51] 去帮他们解答
[36:52] 形成一个蛮好的一个互动
[36:53] 所以维山在这个过程里面
[36:55] 从以前做Project Manager
[36:57] PM的角色
[36:58] 现在进展到
[36:59] 做一个Product Owner
[37:00] 他实际上去开发一个
[37:01] 新的产品
[37:02] 从头开始
[37:03] 并且自己成为
[37:04] 这个产品的经营者
[37:05] 然后这个也是做了
[37:07] 一个非常大的
[37:07] 一个身份的一个转变
[37:08] 也借助AI工具的这个赋能
[37:10] 产生了一个新的可能性
[37:12] 好
[37:13] 那这个是我
[37:14] 这边跟大家分享的
[37:15] 最后一页
[37:16] 就是我们要找到
[37:17] 那个AI时代的脚踏车
[37:18] 那这件事情呢
[37:20] 这个图片里面
[37:22] 是我很喜欢的
[37:23] 皇后核串
[37:23] Green的核串
[37:24] Freddie Mercury
[37:25] 他有一条歌
[37:26] 就是I want to ride my bicycle
[37:28] 就是那每一个都想要找到自己
[37:30] 骑得轻松舒服的自行车
[37:32] 可以上路
[37:33] 不但是运动
[37:34] 你还可以看到
[37:35] 沿路的这些风景
[37:36] 逍遥自在的
[37:38] 那自行车呢
[37:39] 不只释放了
[37:40] 人类的运动能力
[37:41] 在AI时代自行车
[37:43] 就各种
[37:43] 现在正在发展这些工具
[37:44] 将来也会释放
[37:45] 我们的心智上面
[37:47] 更多的一些可能性
[37:48] 好
[37:49] 那我以上简报
[37:50] 跟大家分享到这里
[37:52] 那接下来呢
[37:53] 要进入到我们的重头戏
[37:54] 要邀请到我们的
[37:56] 两位的这个讲者
[37:58] 那首先要邀请到的是
[37:59] 简立峰简博士
[38:02] 那立峰老师是我们
[38:04] 之前过台湾董事总经理
[38:08] 那目前也是多家公司
[38:09] 包含像中华电信
[38:10] 包含像API的董事
[38:12] 那立峰老师在AI领域里面
[38:15] 有非常多的这个观察
[38:17] 跟实作的这个经验
[38:19] 那现在在台湾
[38:20] 也是AI趋势里面
[38:22] 最重要的一位意见领袖
[38:24] 那我们接下来
[38:25] 我们就把时间
[38:27] 我们交给立峰老师
[38:28] 大家好
[39:33] 我是简立峰
[39:34] 非常荣幸来跟大家做交流
[39:37] 刚刚志人也分享了
[39:39] 我很喜欢他
[39:39] 贾博士的第三辆脚踏车
[39:42] 我猜这个
[39:43] 每一个人在AI时代脚踏车
[39:45] 都会长得不一样
[39:47] 这是跟以前最大的不同
[39:48] 那么我也让我联想到一件事情
[39:52] 就是在Google Gemini 3
[39:55] 发表的时候
[39:56] 他讲一句话
[39:57] 他说让所有的人
[39:59] 都可以梦想实现
[40:01] 所以AI时代
[40:02] 我们有很不一样的地方
[40:04] 但志人总编辑
[40:05] 刚刚也提到了几个角度
[40:06] 就是从人才的观点来看
[40:09] 我们有超级实用者
[40:11] 他可以从project manager
[40:14] 变成product owner的角色
[40:16] 那可能你原来是一个
[40:18] 你有自己的职能
[40:19] 但是你的job可以被transform
[40:21] 这都非常非常的重要
[40:23] 所以我这边就借个机会
[40:25] 交流一下
[40:25] AI时代的人才策略
[40:27] 我大概会从新人才
[40:29] 新职能跟新策略的角度
[40:32] 而策略比较会从企业的角度来出发
[40:35] 人才跟职能可能双向的
[40:37] 可以从人才的角度
[40:38] 也可以从企业的角度来看
[40:41] 我们还是看一下
[40:43] 三年四个月五个月时间里头
[40:46] CHP带给全世界的震撼到底是什么
[40:48] 从用妈妈讲的话
[40:51] 就可以沟通的理解阅读问答
[40:54] 当时我们说他数学不好
[40:56] 推理不行
[40:58] 规划能力也没有
[40:59] 我们现在重新来看
[41:01] 2024年一路到2025年
[41:04] 他的数学已经拿到
[41:05] Olympia金牌
[41:06] 城市设计是
[41:08] 人类没有人可以打败他
[41:10] 那么五年内
[41:12] 可能有AI爱因斯坦
[41:13] AI牛丁出来
[41:14] 我们可以觉得说
[41:15] AI好像无所不能
[41:17] 不是不是
[41:17] AI到现在的能力呢
[41:19] 在物理世界的能力呢
[41:21] 对一个两岁小孩子
[41:22] 他都还达不到
[41:23] 比如说我们看到
[41:24] 斜坡会滚
[41:25] 热水会烫
[41:27] 看到玻璃要很小心
[41:28] 这些人与生俱来的
[41:30] 经过很简单的
[41:32] 一两年的时间
[41:32] 就会感应出来的
[41:34] 能力呢
[41:34] AI也很难
[41:35] 所以AI某种程度呢
[41:37] 他读了人类的
[41:38] 大部分的著作
[41:39] 所以他得到
[41:41] 人类已经累积了
[41:42] 所谓的语言而建构的知识
[41:44] 那除此之外
[41:45] AI还是有很多能力
[41:47] 不如人类
[41:47] 好
[41:48] 所以我们中期一生
[41:49] AI跟我们是一种
[41:51] 合作关系
[41:52] 为什么
[41:52] 因为他不是在
[41:53] 每一项能力都可以取代人
[41:55] 可是他已经冲击到
[41:56] 初阶白领的基本工作
[41:58] 那这一张简报
[41:59] 其实就是在告诉大家
[42:01] 大概各行各业都有影响
[42:03] 而且他影响是知识型产业
[42:06] 而在台湾呢
[42:07] 知识型产业比较是本土服务业
[42:10] 我们大部分的失智辈的产业呢
[42:12] 都不是面向全球服务的
[42:15] 所以我们的感受冲击
[42:16] 没有那么的大
[42:18] 但是这要非常非常小心
[42:19] 因为我们的股票市场
[42:21] 让我们感觉
[42:22] 自我感觉非常良好
[42:24] 而且是真的良好
[42:25] 因为我们今天
[42:26] 就在今天这个时间
[42:27] 我们的股票市场的
[42:29] 总市值的大小超过了英国
[42:31] 你无法想象
[42:32] 在三年前到四年前
[42:34] 台湾新创要到伦敦去上市
[42:36] 人家都不理你的
[42:37] 所以这个台湾的公司
[42:39] 有什么可能呢
[42:40] 那今天重新回来看
[42:42] 台湾无限的可能
[42:43] 可是在这个无限可能里头
[42:45] 如果我们都没有办法感受
[42:47] 像戏骨感受到的
[42:48] 年轻白领的工作
[42:50] 受到冲击
[42:51] 那也代表我们在AI的应用
[42:53] 其实相对比较缓慢
[42:55] 我们要小心一点
[42:57] 就是在今年AI就叫
[42:59] Agentic AI的时代
[43:01] AI不再只是简单的
[43:03] 回答我们问题
[43:03] 当我们的顾问
[43:05] 当我们的参谋
[43:06] AI相当我们的朋友
[43:07] 帮我们把事情完成
[43:08] 相当我们的爸爸妈妈
[43:10] 直接把你做掉
[43:11] 那也相当你办公室的同事
[43:13] 能够把任务执行完成
[43:15] 因为他的理解
[43:16] 规划
[43:17] 推演能力都进步了
[43:18] 那如果我们还记得
[43:20] 去年有所谓
[43:21] Deep Seek事件
[43:22] 在年初的时候
[43:23] 今年没有这个名词
[43:25] 但出现两个类Deep Seek事件
[43:27] 第一件事情是小龙虾事件
[43:30] 那事实上是在中国爆红
[43:32] 但事实上是美国的
[43:34] Open Cloud
[43:35] 这个Open Source
[43:36] 开源的这种
[43:38] AI代理人的一个framework
[43:41] 那这个framework
[43:42] 让你很容易的
[43:43] 可以购物预约
[43:45] 每日的简报
[43:46] 投资的监控
[43:47] 这让一个个体
[43:50] 你居然可以透过AI带领了
[43:53] 很容易就好像可以开始创业的感觉
[43:56] 那么同样的呢
[43:58] 在企业的代理出现
[44:00] 就是Entropica最近这几天
[44:02] 也是非常的爆红
[44:03] 是因为他从开发城市代理
[44:07] 来到了企业很多业务的代理
[44:11] 比如说IT的业务
[44:12] 财务
[44:12] 法务
[44:13] 研究
[44:13] 这些代理
[44:14] 那这整个给我们的概念
[44:16] 就是AI来到了代理
[44:18] 那代理跟人的职务之间的竞争关系
[44:21] 合作关系就越来越明显
[44:23] 如果我们讲说过去三年
[44:26] 那微软习惯用一个名字叫Copilot
[44:28] 就是大家一起驾驶
[44:30] 那AI跟我们的关系
[44:31] 好像是一个对等
[44:32] 甚至是一个助理关系
[44:34] 他让一个城市工程师呢
[44:35] 比较容易写城市
[44:37] 律师的合约那部分呢
[44:38] 他帮你拟一拟
[44:39] 剩下律师交给我
[44:40] 可是呢
[44:41] 现在不一样了
[44:43] 现在AI呢
[44:44] 是让我们可以做到
[44:45] 我们原本可能做不到的事情
[44:47] 而不是让我们只是做到
[44:49] 我们原来做得到省时间而已
[44:51] 那我给他一个说法
[44:53] 就是从work faster
[44:55] 来到work smarter
[44:56] 那这件事情
[44:57] 大家特别特别注意
[44:58] 因为如果你是work faster
[45:00] 你是早点下班而已
[45:02] 你并没有让你的竞争力提升
[45:04] 但如果你work smarter
[45:06] 你就可能做到
[45:08] 你原来做不到的事情
[45:09] 刚刚智能总编辑也提到了
[45:11] 两个他的超级使用者的同事
[45:13] 其实他们都来到work smarter
[45:15] 也改变他们的
[45:16] 直以来的发展
[45:17] 那么这就是
[45:19] 大家最需要把握的
[45:21] 因为如果你是一个
[45:23] 学习能力很强的
[45:24] 接受新工具非常厉害的
[45:26] 自主性也非常非常强
[45:27] 不管你现在做什么工作
[45:29] 你都可能可以work smarter
[45:31] 好
[45:32] 我们再往下看
[45:33] 在不同的领域里头的
[45:35] work smarter的人
[45:36] 到底出现了什么
[45:38] 比如说IT领域呢
[45:39] 现在可能有一个人
[45:40] 可以做十个人份以上的事情
[45:43] 那么比如说
[45:44] 你把一个网站的内容
[45:45] 从假平台搬到乙平台
[45:48] 光这样过去
[45:49] 可能是一个
[45:50] 十个人做几个月的时间
[45:52] 现在一个人
[45:53] 再几天用AI就可以完成
[45:54] 这是一种超级人类的概念
[45:57] 我们再往下看
[45:58] 行销人还非常非常多
[46:00] 过去我们从行销的
[46:02] 创意的发想到
[46:03] 行销内容的建构
[46:05] 到广告的投放
[46:07] 跟之后广告的
[46:09] 比如说监督
[46:10] 我们现在可能都是一个人
[46:13] 就可以完成了
[46:14] 这都是超级人才的角度
[46:16] 好
[46:16] 我们刚刚看了新的人才的角度
[46:19] 那就回到企业
[46:21] 每一个职务
[46:22] 我们以后的职务
[46:23] 还是软体工程师
[46:24] 还是专案经理
[46:26] 还是HR
[46:28] 还是会计
[46:29] 这些名词可能都可能改变了
[46:32] 我们叫它新的智能
[46:33] 我们先来看职场发生什么样貌
[46:37] 就是现在你现在看到的这个样貌
[46:39] 就是我们有一阵子
[46:42] 两三个月前我都还在享受
[46:44] 我们叫人机协同
[46:46] 人机协同
[46:47] 最近我的想法改变了
[46:49] 是AI做不到的事
[46:51] 人去帮他
[46:53] 这个角度完全改变了
[46:55] 我们快要变AI的手跟脚了
[46:57] 因为AI能做的事情越来越多
[47:00] 之后就并不是站在AI帮人的角度了
[47:04] 企业组织可能会从AI为中心
[47:08] 尤其是所谓的AI原生企业
[47:11] 比如说一人独角受创的企业
[47:13] AI原生企业呢
[47:14] 它可能是从以AI能做的事情
[47:19] 再去看AI哪里做不了
[47:20] 只有人把它放进去
[47:22] 所以我们现在的企业
[47:24] 在台湾大部分才刚开始说
[47:26] 现在AI可以帮我
[47:27] 比如说在客服部门
[47:29] 他可以帮我查资料
[47:30] 帮我简单的回复
[47:31] 那都由我人来做
[47:33] 那行销部门
[47:34] 他可以帮我深入内容
[47:36] 但整个构设我来做
[47:37] 可是未来他可能不是这样子
[47:39] 他可能是AI决定做行销
[47:42] 他全部规划完
[47:44] 才发现说有些资料他做不到
[47:46] 有些沟通他做不到
[47:48] 这时候人才介入进来
[47:50] 所以他整个概念叫做
[47:52] 从tours变teammate
[47:54] 甚至是呢team的
[47:56] 所谓的centroid
[47:57] 中心点的角度
[47:58] 那这样呢
[47:59] 他带来新的职场工作机会
[48:01] 有太多的新工作机会
[48:03] 他都夹杂AI技能
[48:05] 跟原来我们的技能
[48:06] 可是他广度深度
[48:08] 都会被变多了
[48:09] 比如说组织有AI长的概念
[48:12] 另外呢
[48:12] 组织有AI governance的概念
[48:14] 而AI governance
[48:15] 很可能不是你传统认为
[48:17] 是法律背景的人
[48:18] 很可能反而是一个
[48:20] 一个IT工程师
[48:22] 变成architect
[48:23] 他来扮演AI governance角色
[48:26] 只要他把法律相关的知识提升
[48:28] 这些都是在改变我们的能力
[48:31] 另外一个角度呢
[48:32] 当然就是软体的
[48:34] 个人的能力呢
[48:36] 我们刚刚讲
[48:36] 在物理世界的能力
[48:38] 很多
[48:38] AI还是很遥远的
[48:41] 那么我们人的好多的能力
[48:43] AI其实现在并没有办法做得很好
[48:45] 我们的同理心
[48:46] 人跟人之间的沟通
[48:48] 人跟人之间的合作
[48:50] 也就是人跟人这一个部分
[48:52] 我们还是要靠人
[48:54] 至于机器跟人之间
[48:56] 他有一段
[48:57] 可能某些人做得好
[48:58] 某些人做不好
[48:59] 但是人跟人还是要靠人
[49:01] 这我们叫他软实力的重要性
[49:03] 那我们把机器用得好
[49:05] 我们个人的提问能力
[49:07] 思辨能力也要很强
[49:08] 所以某种角度来讲
[49:10] 人的能力的重要性更高了
[49:13] 可是我们传统的学习方式
[49:15] 要做调整
[49:16] 好
[49:17] 所以因为学习方式要调整
[49:19] 我还是重复
[49:20] 在很多地方我讲过
[49:21] 我们要从斜杠人生的
[49:23] T型人才
[49:24] T是一条腿的概念
[49:26] 变成两条腿的概念
[49:28] 用一个很简单
[49:29] 重复再讲的概念
[49:30] 就是城市设计师
[49:32] 现在可能也要自己做测试
[49:35] 甚至最好能够自己做专案经理
[49:37] 或产品经理
[49:38] 这样一个概念下来
[49:40] 你的上游下游
[49:41] 都可以被你整合起来
[49:43] 那我们就说
[49:43] 每一个人最好都成为
[49:45] 某一件事情的AI指挥家
[49:46] 你自己有你的交响乐
[49:48] 那么一样
[49:49] 当你可以做一个AI指挥家的时候
[49:52] 你可以自己打造
[49:53] 你自己的脚踏车
[49:55] 好
[49:55] 那么最后我们就拉回来
[49:57] 从企业的角度
[49:58] 那企业的策略是什么
[50:00] 我们看到
[50:01] 人才的样貌已经改变了
[50:03] 有些人才是1%的超级人类
[50:05] 有些人才在AI时代
[50:07] 转换不过来
[50:08] 但是呢
[50:09] 如果我们换一个角度来看
[50:11] 企业的角度
[50:12] 第一个
[50:13] 我们没有想到走这么快
[50:16] 企业的角度已经来到
[50:18] Agentic Enterprise的角度
[50:20] 我们有说今年是Agentic AI的元年
[50:25] 但是写程式叫Agentic Engineering
[50:28] 就是AI可以代理一些工程
[50:31] 连企业他也成为一个代理型的企业
[50:34] 什么叫代理型企业呢
[50:36] 就企业很多的流程要做改造
[50:38] 很多的业务服务呢
[50:40] 重新设计
[50:41] 最重要是数位员工成为标配
[50:44] 而主管们呢
[50:45] 从管人变成管AI
[50:47] 而员工们呢
[50:48] 从自己的本能技能
[50:50] 还要增加运用AI的技能
[50:52] 甚至跟AI做协作
[50:54] 有更多的AI团队跟人可以一起合作
[50:57] 那么刚刚自然其实也谈到一个
[51:00] 就是我们从算力跟人力之间
[51:03] 已经产生竞争
[51:04] 在很多的调查
[51:05] 问企业主呢
[51:06] 越来越多人宁可把钱发
[51:08] 放在算力所谓的token费用
[51:12] 也不见得会那么愿意
[51:13] 立刻把钱放在一个员工的headcount
[51:16] 我们都知道算力24小时可以跑
[51:19] 员工呢
[51:19] 可能一天8小时而已
[51:21] 好
[51:21] 我们再来看这样的一个职能的改变呢
[51:24] 以城市设计师的改变
[51:26] 当例子最容易去想
[51:28] 就是一个城市设计师
[51:30] 本来从写城市
[51:31] 可能就变成是编辑城市的角度
[51:33] 那么城市设计师
[51:35] 从完全事情变成是
[51:37] Governing
[51:37] 管理事情的角度
[51:39] 那我常常最近跟
[51:41] 资工系的学生或者老师们
[51:43] 都在聊一个概念
[51:44] 就是我们过去资工系的训练
[51:46] 能够把演算法做得非常好
[51:49] 这些很优秀的学生或工程师呢
[51:52] 他们通常能够模拟机器的思维
[51:56] 所以当他们模拟机器的思维
[51:58] 深度很想就很像我们很会下棋的时候
[52:01] 我们以前并没有要求他人跟人的沟通能力
[52:04] 可是当机器突然间从机器变成人
[52:08] 而沟通模式是人的沟通模式之后
[52:11] 传统的工程师的训练就被接受挑战
[52:15] 那这也是一个职能的训练
[52:18] 也就是未来的软体工程师呢
[52:21] 他可能要多修很多管理学的能力
[52:25] 人的沟通能力
[52:27] 我们用一个采购人员的角度
[52:29] 在AI的时代里头
[52:31] Garner有一个报告
[52:33] 他说三年内
[52:34] AI的企业代理的采购会加速成长
[52:37] 甚至90%的B2B的采购都有牵涉到AI代理
[52:42] 原因很简单
[52:43] 你有很多重复的采购呢
[52:45] 其实不需要人力去监督了
[52:49] 比如说一个企业当你卫生纸用完了之后
[52:51] 你要花时间去联络去采购
[52:53] 去入账
[52:54] 去结账
[52:55] 去发票
[52:57] 整个整理
[52:59] 不全部交给AI
[53:00] 而企业跟企业之间
[53:02] 只要开始启动起来
[53:04] ERP加AI功能
[53:06] 这速度就会非常快
[53:07] 可是我们站在一个采购人员
[53:09] 你就要开始注意
[53:10] 你原来是人在负责做采购联系
[53:13] 这在全世界到底有多少
[53:15] 可能近亿人都有可能
[53:18] 但是未来很可能
[53:20] AI做一般常规性的采购
[53:22] 而人类负责策略
[53:24] 负责监督AI
[53:25] 或负责管理AI
[53:27] 那这个职能的改变
[53:29] 也就做很大改变
[53:30] 那主管的心态就完全改变了
[53:33] 因为他的团队里头
[53:34] 已经有AI同事
[53:35] 是AI员工了
[53:36] 所以主管的心态
[53:38] 不能只是纯粹管理人的概念
[53:41] 他要注意到
[53:42] AI做不到很多情感连结
[53:44] 弹性应变
[53:45] 那AI的道德判断
[53:47] 我们现在也没有能力
[53:49] 知道AI的能力
[53:50] 到底会不会犯太多的错误
[53:52] 可是主管心态
[53:54] 也不能立刻只是去拥抱
[53:57] 算力
[53:57] 拥抱token fee
[53:58] 因为AI不是万能
[54:01] 不是每一件事情都做得到
[54:02] 所以主管的变革能力
[54:05] 也就要重新学习
[54:07] 他在机会跟风险中取得平衡
[54:10] 但最重要最重要的
[54:11] 主管的赋能者心态
[54:13] 在我很多的协助跟了解的过程中
[54:18] 发现一个组织的
[54:20] 最高的主管
[54:22] 他的拥抱AI跟参与AI
[54:25] 决定的这整个组织
[54:27] 拥抱AI的能力
[54:28] 好
[54:29] 那在很短时间内
[54:31] 最后跟大家做一些建议
[54:32] 比如说如果你是一个职场新鲜人
[54:35] 那有四个角度
[54:37] 你可以培养自己
[54:38] 一个就是我们问AI的能力
[54:40] 问问题才能解决问题
[54:42] 可是这是一个很特别的时代
[54:44] 我们花好多时间去学习解决问题
[54:47] 可是现在居然用问问题
[54:49] 相当一个管理者的角度
[54:51] 你就可以解决问题了
[54:52] 讲得清楚
[54:54] 问得好就可以解决问题
[54:55] 另外你要知道
[54:56] 在什么时间内用AI才可以
[54:59] 什么事情AI可以用
[55:01] 什么不能用
[55:02] 再下来呢
[55:04] 是AI成果的确保者
[55:05] 就是你要能够管理AI
[55:08] 知道AI的正确性
[55:10] 正确性跟它的完成度
[55:12] 最后最重要的
[55:14] 我们说不管是拍型人才
[55:16] 或者是超级使用者
[55:18] 1%超级使用者
[55:19] 他们都有一个能力
[55:21] 刚刚智能总编辑提到
[55:23] 其实就是那辆脚踏车
[55:25] 它会为自己打造一个
[55:27] 属于自己最好职能成长的脚踏车
[55:32] 比如说一个懂行销的数据分析师
[55:35] 你可能原来是一个行销人员
[55:37] 你现在是非常懂数据
[55:39] 你可能是一个设计人员
[55:40] 你非常懂AI流程
[55:42] 那么这些改变呢
[55:43] 都需要我们有人际关系的
[55:46] 跟软实力的建构
[55:48] 那么刚刚也提到
[55:50] 好那最后最后
[55:51] 希望大家把握这个AI时代
[55:53] 很多人都会觉得
[55:54] AI是一个带来人类很大的冲击
[55:57] 大部分人都会开始担心
[55:59] 觉得会威胁
[56:00] 可是我们想想
[56:01] 人类慢慢悠悠悠岁月
[56:03] 也就只有我们这一代人
[56:05] 有这个机会
[56:05] 在AI时代把握成为第一代的
[56:08] 成功使用AI
[56:10] 我说他是一个AI的指挥家
[56:12] AI现在像一大堆脚踏车
[56:15] 相当于交响乐各种乐器
[56:17] 希望大家都可以成为
[56:18] AI时代最好的指挥家
[56:20] 不过这个跟坐飞机一样
[56:22] 你要起飞前要系好安全带
[56:24] 谢谢
[56:25] 谢谢立凤老师
[56:51] 刚才很精彩的一个分享
[56:53] 那我这边有一些问题
[56:55] 想来跟立凤老师请教
[56:57] 那当然也欢迎
[56:58] 就是我们现在说的
[56:59] 线上的朋友们
[57:00] 就是你有进一步的问题
[57:01] 也想来交流的
[57:02] 也欢迎在我们这个留言区
[57:04] 可以打进来
[57:06] 那我首先想请教
[57:07] 因为我们看到就是说
[57:09] 像刚才谈到
[57:10] 是在美国有这个裁员潮
[57:12] 那可能前几年那时候
[57:14] 在数字转型的时候
[57:15] 其实是很多call center
[57:16] 其实被彩色掉
[57:18] 那我们在这两年
[57:19] 看到很多是programmer
[57:20] 是IT人员
[57:21] 那就这样的一个变化
[57:24] 为什么我们在台湾没有发生
[57:26] 好 我常常讲一个概念
[57:27] 就是说台湾其实
[57:28] 我们GDP虽然非常好
[57:31] 但我们大部分都是
[57:32] 制造业的出口
[57:33] 那么这一次的AI
[57:35] 我们如果说确的GDP
[57:36] 它比较像是内容生成
[57:38] 我们说generated AI
[57:40] 所以它是属于内容
[57:41] 内容生成的影响
[57:43] 那么通常它影响是
[57:45] 我们说师之辈
[57:46] 老师 律师 会计师
[57:48] 或者我们说行销人员
[57:51] 产生内容的媒体人员
[57:52] 那台湾这一个产业呢
[57:54] 虽然数字都很好
[57:55] 可是我们是属于
[57:56] 内需型产业
[57:57] 内需型产业
[57:58] 就我们服务
[57:59] 2300万到400万的
[58:01] 台湾的这个民众之后
[58:03] 往外扩的就比例很少
[58:05] 所以我们用AI的动机
[58:07] 其实我们很多人都用
[58:08] 只是它不会每天用
[58:09] 动机没那么强烈
[58:10] 因为你不会因为
[58:12] 用了AI之后
[58:13] 你可能提早下班了
[58:14] 可是老板并没有感受
[58:16] 营收会增加
[58:16] 原因就是因为
[58:18] 我们的天花板没打破
[58:19] 所以这是有一点
[58:20] 我们自己的特色
[58:22] 可是如果今天AI来到
[58:24] 可以影响
[58:25] 所谓的企业的代理
[58:26] 就不太一样
[58:27] 因为企业光采购
[58:29] 用AI可以做很多的改变
[58:31] 比如说效能提高
[58:32] 成本下降
[58:34] 而是全球采购
[58:35] 比如说制造业
[58:36] 它就动起来
[58:37] 那金融业呢
[58:38] 它可能海外服务
[58:39] 开始透过AI有影响
[58:41] 跨国语言问题也解决掉
[58:43] 所以呢
[58:43] 天花板不够高
[58:45] 市场的天花板不够高
[58:47] 会使得我们感受比较慢
[58:49] 可是即使这样
[58:51] 它最终还是会来到台湾
[58:52] 你提到那个
[58:54] 台湾自我感觉良好这件事情
[58:56] 去年其实台湾
[58:58] 有个网络大调查里面
[58:59] 也提到
[58:59] 因为实际上付费
[59:00] 可以去使用这些
[59:02] AI工具的
[59:03] 在台湾其实那个比例不到两成
[59:05] 但是有将近一半
[59:06] 都觉得自己使用
[59:08] 很熟练
[59:09] 所以中间其实有蛮大一个落差
[59:11] 因为如果它不是使用付费的
[59:13] 它使用的是免费的
[59:14] 跟付费的
[59:15] 其实那个能够提供的
[59:16] 是差别很大的
[59:17] 所以当然这个是属于一般
[59:19] 可能使用者来讲
[59:20] 不到两成
[59:21] 但是有将近五成
[59:22] 觉得自己用的已经很熟练了
[59:24] 所以这中间
[59:24] 其实存在巨大的一个
[59:26] 可能认知上面的一个落差
[59:27] 我提一下
[59:30] 就是说大家应该全台湾上班族
[59:33] 或者学生都用过AI了
[59:35] 那么也可能蛮依赖AI
[59:37] 可是我们用AI的技能
[59:38] 不见得是与时俱进
[59:40] 但AI一直在进步
[59:42] 所以有一点是AI主动在帮我们
[59:45] 但我们自己不见得
[59:46] 能够主动帮我们自己
[59:48] 最重要的地方是
[59:49] 如果你的工作场域
[59:51] 或学习场域
[59:53] 它没有产生竞争者
[59:54] 来跟你一起竞争
[59:56] 使用那个AI的时候
[59:57] 我们的感觉就没有那么好
[59:59] 假设你班上你已经第一名了
[01:00:01] 你都没念书就第一名了
[01:00:03] 我猜我们很难进步
[01:00:04] 但你班上如果有两个同学
[01:00:06] 你有些赢他
[01:00:08] 有些输他
[01:00:08] 大家彼此就会进步很快
[01:00:10] 所以职场的AI的使用
[01:00:13] 很重要的地方是
[01:00:14] 职场用起来
[01:00:15] 那职场工作者
[01:00:16] 才在工作这样使用
[01:00:18] 他很容易看到成效
[01:00:20] 那如果是他回家用一用
[01:00:22] 他觉得不错不错
[01:00:23] 就是一个顾问的角色而已
[01:00:25] 帮你读书的角色
[01:00:26] 那我想再请教立宫老师
[01:00:28] 那像美国
[01:00:29] 现在有这么多这些
[01:00:30] 被裁员的这些专业的工作者
[01:00:33] 是
[01:00:33] 他接下来
[01:00:35] 就是会对可能职场
[01:00:36] 或者企业的这个
[01:00:38] 造成什么样的一些影响
[01:00:39] 其实我最喜欢讲说
[01:00:41] 被裁员的国家
[01:00:43] 有AI
[01:00:43] 有人因为AI
[01:00:45] 被裁员的国家
[01:00:46] 代表竞争力
[01:00:47] 那代表他们有本事
[01:00:49] 腾龙换鸟
[01:00:50] 也就是说
[01:00:52] 笼子腾得出来
[01:00:53] 因为有钱可以腾龙子
[01:00:55] 只有有鸟可以进去
[01:00:57] 那他看得到有价值
[01:00:59] 他可以换更大龙子
[01:01:01] 把更好的鸟拉进来
[01:01:03] 那这个就是现在典型的戏骨
[01:01:05] 你可以看到他被裁掉
[01:01:07] 反而是非常高薪的
[01:01:08] 反而是非常优秀的人
[01:01:10] 那为什么是这样子呢
[01:01:12] 因为从某种概念下
[01:01:14] 这些比较原来比较网络时代
[01:01:17] 成功的企业
[01:01:18] 他其实已经可以感受
[01:01:20] AI对他组织的影响
[01:01:22] 那一方面
[01:01:23] 他需要新的技能的人
[01:01:25] 另一方面呢
[01:01:26] 他需要投资在算力
[01:01:28] 他需要投资在token
[01:01:30] 所以他等于是
[01:01:31] 把他的资源分配
[01:01:32] 做了调整
[01:01:33] 但是刚刚之前
[01:01:35] 我们在聊的时候
[01:01:35] 也有讲到
[01:01:36] 对他们的影响是什么
[01:01:38] 其实在矽谷
[01:01:39] 因为AI而被裁员的
[01:01:41] 优秀人才
[01:01:41] 一点都不用担心
[01:01:43] 但唯一要改变是
[01:01:44] 所谓的从乙方到甲方
[01:01:47] 因为被裁的人都是什么
[01:01:48] 那些开发产品的单位
[01:01:50] 那他现在可能不需要
[01:01:52] 这么多人开发产品
[01:01:53] 或者开发产品流程中
[01:01:55] 已经有AI了
[01:01:56] 所以在这种情形系
[01:01:57] 他就不要那么多人
[01:01:59] 所以这些人就会
[01:02:00] 到所谓的甲方
[01:02:02] 就是所谓的买方去了
[01:02:03] 买方那边呢
[01:02:05] 帮他刚刚之前也提到
[01:02:07] 就是
[01:02:07] Forward Department Engineer
[01:02:10] 在等着他
[01:02:11] 对就是直接到
[01:02:12] 科务那边去上班的
[01:02:13] 我就讲一个小小故事
[01:02:15] 我儿子现在在美国
[01:02:16] 他不错学校念
[01:02:17] Compute Science
[01:02:18] 他的学长
[01:02:19] 学弟现在都不好找事
[01:02:21] 对啊
[01:02:22] 可是呢
[01:02:23] 他们每天收到的
[01:02:24] 这个黑汉腿要来找他
[01:02:26] 就是
[01:02:26] Forward Department Engineer
[01:02:28] 你要不要去
[01:02:28] 这就是乙方到甲方
[01:02:30] 当然这个也是
[01:02:31] 另外一种形式的
[01:02:32] 产销合一
[01:02:33] 因为本来是生产者
[01:02:35] 供应商的角度
[01:02:36] 但现在你到企业去工作了
[01:02:37] 你就变成是消费者
