[00:12:21] 各位線上的朋友大家午安
[00:33:32] 所謂前線部署工程師
[00:33:34] 去解決這個問題
[00:33:35] 那當然關於FDE這個部分
[00:33:36] 等一下立峰老師
[00:33:37] 有一個更貼切的一個解釋
[00:33:39] 我們等一下在
[00:33:40] 立峰老師演講裡面
[00:33:41] 我們再來聽他詳細來介紹
[00:33:43] 那我這邊最後跟大家
[00:33:45] 就是介紹兩個案例
[00:33:48] 是我們公司內部的同事
[00:33:49] 那第一個要介紹的是博源
[00:33:52] 那博源之前
[00:33:53] 是我們的
[00:33:55] 就是姐妹雜誌
[00:33:56] 就是近人月刊的編輯
[00:33:58] 那編輯過去的工作處理稿件
[00:34:00] 下標題
[00:34:01] 那再來就是說
[00:34:02] 做網站的這個編輯之後
[00:34:04] 就負責這些稿件上網
[00:34:05] 同時要去經營
[00:34:06] 這個關鍵是SEO的這個部分
[00:34:08] 以及流量
[00:34:09] 那博源當然也非常認真
[00:34:12] 就是說在這些工作的過程
[00:34:13] 同時他也去學習了很多的AI工具
[00:34:16] 便使用在自己工作上面
[00:34:17] 產生心得之後呢
[00:34:19] 去年他也協助我們公司
[00:34:20] 有一個線上課程的一個專案
[00:34:22] 然後接受客戶的委託
[00:34:23] 來幫參與去協助開發課程
[00:34:26] 那開發課程這個經驗之後呢
[00:34:28] 現在博源的下一個身份
[00:34:30] 應該講現在的身份
[00:34:32] 演變成就是一個課程的講師了
[00:34:34] 所以他前一陣子
[00:34:35] 剛推出一門課
[00:34:36] 叫AI簡報極速流課程
[00:34:39] 那賣的也非常好
[00:34:41] 那即將這個銷售也要破百萬了
[00:34:43] 所以對博源來講
[00:34:44] 就是說他過去
[00:34:46] 可能我們比較常談
[00:34:47] 叫所謂job description
[00:34:49] 就是說都會講說
[00:34:50] 工作執掌內容是什麼
[00:34:51] 因為有了這個東西
[00:34:52] 才能去定義KPI
[00:34:53] 但對博源來講
[00:34:54] 他其實正在經歷
[00:34:56] 自己的一個工作內容的轉型
[00:34:57] 自己給自己的工作
[00:34:58] 去做定義job transformation
[00:35:00] 那我想這個其實對於
[00:35:02] 在AI時代裡面
[00:35:03] 多數工作者都要面臨到
[00:35:04] 就是說不再是用KPI來定義
[00:35:06] 因為那個KPI一直在變動
[00:35:08] 所以你的JD這個事情
[00:35:09] 會越來越不明顯
[00:35:11] 因為他一直在一個
[00:35:12] 調整的過程當中
[00:35:13] 所以job transformation的彈性
[00:35:15] 跟能力這個事情
[00:35:16] 反映在博源
[00:35:17] 從一個過去傳統的一個編輯
[00:35:20] 到現在成為一個課程的講師
[00:35:22] 中間經歷這些過程
[00:35:24] 其實有了AI工具的賦能
[00:35:25] 沒有限制他的這個產出
[00:35:27] 反而加大了他的可能性
[00:35:28] 好 那我下一個例子
[00:35:30] 也是最後一個例子
[00:35:31] 跟大家要分享
[00:35:32] 是我們同樣是
[00:35:33] 經理人月刊的這個
[00:35:35] 另外一個同事
[00:35:36] 那韋韋山
[00:35:38] 那他過去的工作
[00:35:39] 本來也是網站編輯
[00:35:41] 經營這個關鍵字
[00:35:43] 跟網站流量
[00:35:44] 那去年跟前年參與的
[00:35:46] Google的NDX的這個專案
[00:35:47] 就協助這個所謂媒體
[00:35:49] 做出位轉型
[00:35:50] 從這邊累積到經驗
[00:35:51] 再加上他自己本身學習
[00:35:53] 多種AI工具
[00:35:54] 這當然是他自己本身的興趣
[00:35:56] 這些經驗累積之後呢
[00:35:58] 回來他現在在去年
[00:36:00] 參與我們內部
[00:36:01] 開發的一個新的產品
[00:36:02] 我們叫一天一AI
[00:36:03] 它是一個電子報
[00:36:05] 那每天提供大家
[00:36:07] 一直關於AI的
[00:36:08] 工具使用的這個心得
[00:36:10] 或者說一些Tips
[00:36:12] 或者是就是ABC的東西
[00:36:14] 那非常受歡迎
[00:36:15] 在半年之內
[00:36:17] 現在的訂閱戶
[00:36:18] 已經超過了三萬多人
[00:36:21] 那也非常歡迎大家
[00:36:22] 可以上網去Google去搜尋
[00:36:24] 就是一天一AI
[00:36:25] 來下載訂閱維山這個產品
[00:36:27] 因為他現在收到
[00:36:28] 非常多來自各行各業的
[00:36:29] 這些讀者
[00:36:31] 針對這個一天一AI
[00:36:32] 提供給他各種經驗
[00:36:33] 那這裡面有聽到
[00:36:34] 有這個放射科醫師
[00:36:36] 有可能是這個小學老師等等
[00:36:38] 都把他們想要學AI
[00:36:41] 或使用AI的一些心得
[00:36:42] 或者碰到一些難題
[00:36:43] 來跟維山交流
[00:36:45] 那一方面是給Feedback
[00:36:46] 一方面也提出他們的問題
[00:36:47] 希望維山可以在
[00:36:48] 一天一AI的後面的這個
[00:36:50] 電子報裡面
[00:36:51] 去幫他們解答
[00:36:52] 形成一個蠻好的一個互動
[00:36:53] 所以維山在這個過程裡面
[00:36:55] 從以前做Project Manager
[00:36:57] PM的角色
[00:36:58] 現在進展到
[00:36:59] 做一個Product Owner
[00:37:00] 他實際上去開發一個
[00:37:01] 新的產品
[00:37:02] 從頭開始
[00:37:03] 並且自己成為
[00:37:04] 這個產品的經營者
[00:37:05] 然後這個也是做了
[00:37:07] 一個非常大的
[00:37:07] 一個身份的一個轉變
[00:37:08] 也藉助AI工具的這個賦能
[00:37:10] 產生了一個新的可能性
[00:37:12] 好
[00:37:13] 那這個是我
[00:37:14] 這邊跟大家分享的
[00:37:15] 最後一頁
[00:37:16] 就是我們要找到
[00:37:17] 那個AI時代的腳踏車
[00:37:18] 那這件事情呢
[00:37:20] 這個圖片裡面
[00:37:22] 是我很喜歡的
[00:37:23] 皇后核串
[00:37:23] Green的核串
[00:37:24] Freddie Mercury
[00:37:25] 他有一條歌
[00:37:26] 就是I want to ride my bicycle
[00:37:28] 就是那每一個都想要找到自己
[00:37:30] 騎得輕鬆舒服的腳踏車
[00:37:32] 可以上路
[00:37:33] 不但是運動
[00:37:34] 你還可以看到
[00:37:35] 沿路的這些風景
[00:37:36] 逍遙自在的
[00:37:38] 那腳踏車呢
[00:37:39] 不只釋放了
[00:37:40] 人類的運動能力
[00:37:41] 在AI時代腳踏車
[00:37:43] 就各種
[00:37:43] 現在正在發展這些工具
[00:37:44] 將來也會釋放
[00:37:45] 我們的心智上面
[00:37:47] 更多的一些可能性
[00:37:48] 好
[00:37:49] 那我以上簡報
[00:37:50] 跟大家分享到這裡
[00:37:52] 那接下來呢
[00:37:53] 要進入到我們的重頭戲
[00:37:54] 要邀請到我們的
[00:37:56] 兩位的這個講者
[00:37:58] 那首先要邀請到的是
[00:37:59] 簡立峰簡博士
[00:38:02] 那立峰老師是我們
[00:38:04] 之前過臺灣董事總經理
[00:38:08] 那目前也是多家公司
[00:38:09] 包含像中華電信
[00:38:10] 包含像API的董事
[00:38:12] 那立峰老師在AI領域裡面
[00:38:15] 有非常多的這個觀察
[00:38:17] 跟實作的這個經驗
[00:38:19] 那現在在臺灣
[00:38:20] 也是AI趨勢裡面
[00:38:22] 最重要的一位意見領袖
[00:38:24] 那我們接下來
[00:38:25] 我們就把時間
[00:38:27] 我們交給立峰老師
[00:38:28] 大家好
[00:39:33] 我是簡立峰
[00:39:34] 非常榮幸來跟大家做交流
[00:39:37] 剛剛志人也分享了
[00:39:39] 我很喜歡他
[00:39:39] 賈博士的第三輛腳踏車
[00:39:42] 我猜這個
[00:39:43] 每一個人在AI時代腳踏車
[00:39:45] 都會長得不一樣
[00:39:47] 這是跟以前最大的不同
[00:39:48] 那麼我也讓我聯想到一件事情
[00:39:52] 就是在Google Gemini 3
[00:39:55] 發表的時候
[00:39:56] 他講一句話
[00:39:57] 他說讓所有的人
[00:39:59] 都可以夢想實現
[00:40:01] 所以AI時代
[00:40:02] 我們有很不一樣的地方
[00:40:04] 但志人總編輯
[00:40:05] 剛剛也提到了幾個角度
[00:40:06] 就是從人才的觀點來看
[00:40:09] 我們有超級實用者
[00:40:11] 他可以從project manager
[00:40:14] 變成product owner的角色
[00:40:16] 那可能你原來是一個
[00:40:18] 你有自己的職能
[00:40:19] 但是你的job可以被transform
[00:40:21] 這都非常非常的重要
[00:40:23] 所以我這邊就借個機會
[00:40:25] 交流一下
[00:40:25] AI時代的人才策略
[00:40:27] 我大概會從新人才
[00:40:29] 新職能跟新策略的角度
[00:40:32] 而策略比較會從企業的角度來出發
[00:40:35] 人才跟職能可能雙向的
[00:40:37] 可以從人才的角度
[00:40:38] 也可以從企業的角度來看
[00:40:41] 我們還是看一下
[00:40:43] 三年四個月五個月時間裡頭
[00:40:46] CHP帶給全世界的震撼到底是什麼
[00:40:48] 從用媽媽講的話
[00:40:51] 就可以溝通的理解閱讀問答
[00:40:54] 當時我們說他數學不好
[00:40:56] 推理不行
[00:40:58] 規劃能力也沒有
[00:40:59] 我們現在重新來看
[00:41:01] 2024年一路到2025年
[00:41:04] 他的數學已經拿到
[00:41:05] Olympia金牌
[00:41:06] 城市設計是
[00:41:08] 人類沒有人可以打敗他
[00:41:10] 那麼五年內
[00:41:12] 可能有AI愛因斯坦
[00:41:13] AI牛丁出來
[00:41:14] 我們可以覺得說
[00:41:15] AI好像無所不能
[00:41:17] 不是不是
[00:41:17] AI到現在的能力呢
[00:41:19] 在物理世界的能力呢
[00:41:21] 對一個兩歲小孩子
[00:41:22] 他都還達不到
[00:41:23] 比如說我們看到
[00:41:24] 斜坡會滾
[00:41:25] 熱水會燙
[00:41:27] 看到玻璃要很小心
[00:41:28] 這些人與生俱來的
[00:41:30] 經過很簡單的
[00:41:32] 一兩年的時間
[00:41:32] 就會感應出來的
[00:41:34] 能力呢
[00:41:34] AI也很難
[00:41:35] 所以AI某種程度呢
[00:41:37] 他讀了人類的
[00:41:38] 大部分的著作
[00:41:39] 所以他得到
[00:41:41] 人類已經累積了
[00:41:42] 所謂的語言而建構的知識
[00:41:44] 那除此之外
[00:41:45] AI還是有很多能力
[00:41:47] 不如人類
[00:41:47] 好
[00:41:48] 所以我們中期一生
[00:41:49] AI跟我們是一種
[00:41:51] 合作關係
[00:41:52] 為什麼
[00:41:52] 因為他不是在
[00:41:53] 每一項能力都可以取代人
[00:41:55] 可是他已經衝擊到
[00:41:56] 初階白領的基本工作
[00:41:58] 那這一張簡報
[00:41:59] 其實就是在告訴大家
[00:42:01] 大概各行各業都有影響
[00:42:03] 而且他影響是知識型產業
[00:42:06] 而在臺灣呢
[00:42:07] 知識型產業比較是本土服務業
[00:42:10] 我們大部分的失智輩的產業呢
[00:42:12] 都不是面向全球服務的
[00:42:15] 所以我們的感受衝擊
[00:42:16] 沒有那麼的大
[00:42:18] 但是這要非常非常小心
[00:42:19] 因為我們的股票市場
[00:42:21] 讓我們感覺
[00:42:22] 自我感覺非常良好
[00:42:24] 而且是真的良好
[00:42:25] 因為我們今天
[00:42:26] 就在今天這個時間
[00:42:27] 我們的股票市場的
[00:42:29] 總市值的大小超過了英國
[00:42:31] 你無法想象
[00:42:32] 在三年前到四年前
[00:42:34] 臺灣新創要到倫敦去上市
[00:42:36] 人家都不理你的
[00:42:37] 所以這個臺灣的公司
[00:42:39] 有什麼可能呢
[00:42:40] 那今天重新回來看
[00:42:42] 臺灣無限的可能
[00:42:43] 可是在這個無限可能裡頭
[00:42:45] 如果我們都沒有辦法感受
[00:42:47] 像戲骨感受到的
[00:42:48] 年輕白領的工作
[00:42:50] 受到衝擊
[00:42:51] 那也代表我們在AI的應用
[00:42:53] 其實相對比較緩慢
[00:42:55] 我們要小心一點
[00:42:57] 就是在今年AI就叫
[00:42:59] Agentic AI的時代
[00:43:01] AI不再只是簡單的
[00:43:03] 回答我們問題
[00:43:03] 當我們的顧問
[00:43:05] 當我們的參謀
[00:43:06] AI相當我們的朋友
[00:43:07] 幫我們把事情完成
[00:43:08] 相當我們的爸爸媽媽
[00:43:10] 直接把你做掉
[00:43:11] 那也相當你辦公室的同事
[00:43:13] 能夠把任務執行完成
[00:43:15] 因為他的理解
[00:43:16] 規劃
[00:43:17] 推演能力都進步了
[00:43:18] 那如果我們還記得
[00:43:20] 去年有所謂
[00:43:21] Deep Seek事件
[00:43:22] 在年初的時候
[00:43:23] 今年沒有這個名詞
[00:43:25] 但出現兩個類Deep Seek事件
[00:43:27] 第一件事情是小龍蝦事件
[00:43:30] 那事實上是在中國爆紅
[00:43:32] 但事實上是美國的
[00:43:34] Open Cloud
[00:43:35] 這個Open Source
[00:43:36] 開源的這種
[00:43:38] AI代理人的一個framework
[00:43:41] 那這個framework
[00:43:42] 讓你很容易的
[00:43:43] 可以購物預約
[00:43:45] 每日的簡報
[00:43:46] 投資的監控
[00:43:47] 這讓一個個體
[00:43:50] 你居然可以透過AI帶領了
[00:43:53] 很容易就好像可以開始創業的感覺
[00:43:56] 那麼同樣的呢
[00:43:58] 在企業的代理出現
[00:44:00] 就是Entropica最近這幾天
[00:44:02] 也是非常的爆紅
[00:44:03] 是因為他從開發城市代理
[00:44:07] 來到了企業很多業務的代理
[00:44:11] 比如說IT的業務
[00:44:12] 財務
[00:44:12] 法務
[00:44:13] 研究
[00:44:13] 這些代理
[00:44:14] 那這整個給我們的概念
[00:44:16] 就是AI來到了代理
[00:44:18] 那代理跟人的職務之間的競爭關係
[00:44:21] 合作關係就越來越明顯
[00:44:23] 如果我們講說過去三年
[00:44:26] 那微軟習慣用一個名字叫Copilot
[00:44:28] 就是大家一起駕駛
[00:44:30] 那AI跟我們的關係
[00:44:31] 好像是一個對等
[00:44:32] 甚至是一個助理關係
[00:44:34] 他讓一個城市工程師呢
[00:44:35] 比較容易寫城市
[00:44:37] 律師的合約那部分呢
[00:44:38] 他幫你擬一擬
[00:44:39] 剩下律師交給我
[00:44:40] 可是呢
[00:44:41] 現在不一樣了
[00:44:43] 現在AI呢
[00:44:44] 是讓我們可以做到
[00:44:45] 我們原本可能做不到的事情
[00:44:47] 而不是讓我們只是做到
[00:44:49] 我們原來做得到省時間而已
[00:44:51] 那我給他一個說法
[00:44:53] 就是從work faster
[00:44:55] 來到work smarter
[00:44:56] 那這件事情
[00:44:57] 大家特別特別注意
[00:44:58] 因為如果你是work faster
[00:45:00] 你是早點下班而已
[00:45:02] 你並沒有讓你的競爭力提升
[00:45:04] 但如果你work smarter
[00:45:06] 你就可能做到
[00:45:08] 你原來做不到的事情
[00:45:09] 剛剛智慧總編輯也提到了
[00:45:11] 兩個他的超級使用者的同事
[00:45:13] 其實他們都來到work smarter
[00:45:15] 也改變他們的
[00:45:16] 直以來的發展
[00:45:17] 那麼這就是
[00:45:19] 大家最需要把握的
[00:45:21] 因為如果你是一個
[00:45:23] 學習能力很強的
[00:45:24] 接受新工具非常厲害的
[00:45:26] 自主性也非常非常強
[00:45:27] 不管你現在做什麼工作
[00:45:29] 你都可能可以work smarter
[00:45:31] 好
[00:45:32] 我們再往下看
[00:45:33] 在不同的領域裡頭的
[00:45:35] work smarter的人
[00:45:36] 到底出現了什麼
[00:45:38] 比如說IT領域呢
[00:45:39] 現在可能有一個人
[00:45:40] 可以做十個人份以上的事情
[00:45:43] 那麼比如說
[00:45:44] 你把一個網站的內容
[00:45:45] 從假平臺搬到乙平臺
[00:45:48] 光這樣過去
[00:45:49] 可能是一個
[00:45:50] 十個人做幾個月的時間
[00:45:52] 現在一個人
[00:45:53] 再幾天用AI就可以完成
[00:45:54] 這是一種超級人類的概念
[00:45:57] 我們再往下看
[00:45:58] 行銷人還非常非常多
[00:46:00] 過去我們從行銷的
[00:46:02] 創意的發想到
[00:46:03] 行銷內容的建構
[00:46:05] 到廣告的投放
[00:46:07] 跟之後廣告的
[00:46:09] 比如說監督
[00:46:10] 我們現在可能都是一個人
[00:46:13] 就可以完成了
[00:46:14] 這都是超級人才的角度
[00:46:16] 好
[00:46:16] 我們剛剛看了新的人才的角度
[00:46:19] 那就回到企業
[00:46:21] 每一個職務
[00:46:22] 我們以後的職務
[00:46:23] 還是軟體工程師
[00:46:24] 還是專案經理
[00:46:26] 還是HR
[00:46:28] 還是會計
[00:46:29] 這些名詞可能都可能改變了
[00:46:32] 我們叫它新的智慧
[00:46:33] 我們先來看職場發生什麼樣貌
[00:46:37] 就是現在你現在看到的這個樣貌
[00:46:39] 就是我們有一陣子
[00:46:42] 兩三個月前我都還在享受
[00:46:44] 我們叫人機協同
[00:46:46] 人機協同
[00:46:47] 最近我的想法改變了
[00:46:49] 是AI做不到的事
[00:46:51] 人去幫他
[00:46:53] 這個角度完全改變了
[00:46:55] 我們快要變AI的手跟腳了
[00:46:57] 因為AI能做的事情越來越多
[00:47:00] 之後就並不是站在AI幫人的角度了
[00:47:04] 企業組織可能會從AI為中心
[00:47:08] 尤其是所謂的AI原生企業
[00:47:11] 比如說一人獨角受創的企業
[00:47:13] AI原生企業呢
[00:47:14] 它可能是從以AI能做的事情
[00:47:19] 再去看AI哪裡做不了
[00:47:20] 只有人把它放進去
[00:47:22] 所以我們現在的企業
[00:47:24] 在臺灣大部分才剛開始說
[00:47:26] 現在AI可以幫我
[00:47:27] 比如說在客服部門
[00:47:29] 他可以幫我查資料
[00:47:30] 幫我簡單的回覆
[00:47:31] 那都由我人來做
[00:47:33] 那行銷部門
[00:47:34] 他可以幫我深入內容
[00:47:36] 但整個構設我來做
[00:47:37] 可是未來他可能不是這樣子
[00:47:39] 他可能是AI決定做行銷
[00:47:42] 他全部規劃完
[00:47:44] 才發現說有些資料他做不到
[00:47:46] 有些溝通他做不到
[00:47:48] 這時候人才介入進來
[00:47:50] 所以他整個概念叫做
[00:47:52] 從tours變teammate
[00:47:54] 甚至是呢team的
[00:47:56] 所謂的centroid
[00:47:57] 中心點的角度
[00:47:58] 那這樣呢
[00:47:59] 他帶來新的職場工作機會
[00:48:01] 有太多的新工作機會
[00:48:03] 他都夾雜AI技能
[00:48:05] 跟原來我們的技能
[00:48:06] 可是他廣度深度
[00:48:08] 都會被變多了
[00:48:09] 比如說組織有AI長的概念
[00:48:12] 另外呢
[00:48:12] 組織有AI governance的概念
[00:48:14] 而AI governance
[00:48:15] 很可能不是你傳統認為
[00:48:17] 是法律背景的人
[00:48:18] 很可能反而是一個
[00:48:20] 一個IT工程師
[00:48:22] 變成architect
[00:48:23] 他來扮演AI governance角色
[00:48:26] 只要他把法律相關的知識提升
[00:48:28] 這些都是在改變我們的能力
[00:48:31] 另外一個角度呢
[00:48:32] 當然就是軟體的
[00:48:34] 個人的能力呢
[00:48:36] 我們剛剛講
[00:48:36] 在物理世界的能力
[00:48:38] 很多
[00:48:38] AI還是很遙遠的
[00:48:41] 那麼我們人的好多的能力
[00:48:43] AI其實現在並沒有辦法做得很好
[00:48:45] 我們的同理心
[00:48:46] 人跟人之間的溝通
[00:48:48] 人跟人之間的合作
[00:48:50] 也就是人跟人這一個部分
[00:48:52] 我們還是要靠人
[00:48:54] 至於機器跟人之間
[00:48:56] 他有一段
[00:48:57] 可能某些人做得好
[00:48:58] 某些人做不好
[00:48:59] 但是人跟人還是要靠人
[00:49:01] 這我們叫他軟實力的重要性
[00:49:03] 那我們把機器用得好
[00:49:05] 我們個人的提問能力
[00:49:07] 思辨能力也要很強
[00:49:08] 所以某種角度來講
[00:49:10] 人的能力的重要性更高了
[00:49:13] 可是我們傳統的學習方式
[00:49:15] 要做調整
[00:49:16] 好
[00:49:17] 所以因為學習方式要調整
[00:49:19] 我還是重複
[00:49:20] 在很多地方我講過
[00:49:21] 我們要從斜槓人生的
[00:49:23] T型人才
[00:49:24] T是一條腿的概念
[00:49:26] 變成兩條腿的概念
[00:49:28] 用一個很簡單
[00:49:29] 重複再講的概念
[00:49:30] 就是城市設計師
[00:49:32] 現在可能也要自己做測試
[00:49:35] 甚至最好能夠自己做專案經理
[00:49:37] 或產品經理
[00:49:38] 這樣一個概念下來
[00:49:40] 你的上游下游
[00:49:41] 都可以被你整合起來
[00:49:43] 那我們就說
[00:49:43] 每一個人最好都成為
[00:49:45] 某一件事情的AI指揮家
[00:49:46] 你自己有你的交響樂
[00:49:48] 那麼一樣
[00:49:49] 當你可以做一個AI指揮家的時候
[00:49:52] 你可以自己打造
[00:49:53] 你自己的腳踏車
[00:49:55] 好
[00:49:55] 那麼最後我們就拉回來
[00:49:57] 從企業的角度
[00:49:58] 那企業的策略是什麼
[00:50:00] 我們看到
[00:50:01] 人才的樣貌已經改變了
[00:50:03] 有些人才是1%的超級人類
[00:50:05] 有些人才在AI時代
[00:50:07] 轉換不過來
[00:50:08] 但是呢
[00:50:09] 如果我們換一個角度來看
[00:50:11] 企業的角度
[00:50:12] 第一個
[00:50:13] 我們沒有想到走這麼快
[00:50:16] 企業的角度已經來到
[00:50:18] Agentic Enterprise的角度
[00:50:20] 我們有說今年是Agentic AI的元年
[00:50:25] 但是寫程式叫Agentic Engineering
[00:50:28] 就是AI可以代理一些工程
[00:50:31] 連企業他也成為一個代理型的企業
[00:50:34] 什麼叫代理型企業呢
[00:50:36] 就企業很多的流程要做改造
[00:50:38] 很多的業務服務呢
[00:50:40] 重新設計
[00:50:41] 最重要是數位員工成為標配
[00:50:44] 而主管們呢
[00:50:45] 從管人變成管AI
[00:50:47] 而員工們呢
[00:50:48] 從自己的本能技能
[00:50:50] 還要增加運用AI的技能
[00:50:52] 甚至跟AI做協作
[00:50:54] 有更多的AI團隊跟人可以一起合作
[00:50:57] 那麼剛剛自然其實也談到一個
[00:51:00] 就是我們從算力跟人力之間
[00:51:03] 已經產生競爭
[00:51:04] 在很多的調查
[00:51:05] 問企業主呢
[00:51:06] 越來越多人寧可把錢發
[00:51:08] 放在算力所謂的token費用
[00:51:12] 也不見得會那麼願意
[00:51:13] 立刻把錢放在一個員工的headcount
[00:51:16] 我們都知道算力24小時可以跑
[00:51:19] 員工呢
[00:51:19] 可能一天8小時而已
[00:51:21] 好
[00:51:21] 我們再來看這樣的一個職能的改變呢
[00:51:24] 以城市設計師的改變
[00:51:26] 當例子最容易去想
[00:51:28] 就是一個城市設計師
[00:51:30] 本來從寫城市
[00:51:31] 可能就變成是編輯城市的角度
[00:51:33] 那麼城市設計師
[00:51:35] 從完全事情變成是
[00:51:37] Governing
[00:51:37] 管理事情的角度
[00:51:39] 那我常常最近跟
[00:51:41] 資工系的學生或者老師們
[00:51:43] 都在聊一個概念
[00:51:44] 就是我們過去資工系的訓練
[00:51:46] 能夠把演演算法做得非常好
[00:51:49] 這些很優秀的學生或工程師呢
[00:51:52] 他們通常能夠模擬機器的思維
[00:51:56] 所以當他們模擬機器的思維
[00:51:58] 深度很想就很像我們很會下棋的時候
[00:52:01] 我們以前並沒有要求他人跟人的溝通能力
[00:52:04] 可是當機器突然間從機器變成人
[00:52:08] 而溝通模式是人的溝通模式之後
[00:52:11] 傳統的工程師的訓練就被接受挑戰
[00:52:15] 那這也是一個職能的訓練
[00:52:18] 也就是未來的軟體工程師呢
[00:52:21] 他可能要多修很多管理學的能力
[00:52:25] 人的溝通能力
[00:52:27] 我們用一個採購人員的角度
[00:52:29] 在AI的時代裡頭
[00:52:31] Garner有一個報告
[00:52:33] 他說三年內
[00:52:34] AI的企業代理的採購會加速成長
[00:52:37] 甚至90%的B2B的採購都有牽涉到AI代理
[00:52:42] 原因很簡單
[00:52:43] 你有很多重複的採購呢
[00:52:45] 其實不需要人力去監督了
[00:52:49] 比如說一個企業當你衛生紙用完了之後
[00:52:51] 你要花時間去聯絡去採購
[00:52:53] 去入賬
[00:52:54] 去結賬
[00:52:55] 去發票
[00:52:57] 整個整理
[00:52:59] 不全部交給AI
[00:53:00] 而企業跟企業之間
[00:53:02] 只要開始啟動起來
[00:53:04] ERP加AI功能
[00:53:06] 這速度就會非常快
[00:53:07] 可是我們站在一個採購人員
[00:53:09] 你就要開始注意
[00:53:10] 你原來是人在負責做採購聯絡
[00:53:13] 這在全世界到底有多少
[00:53:15] 可能近億人都有可能
[00:53:18] 但是未來很可能
[00:53:20] AI做一般常規性的採購
[00:53:22] 而人類負責策略
[00:53:24] 負責監督AI
[00:53:25] 或負責管理AI
[00:53:27] 那這個職能的改變
[00:53:29] 也就做很大改變
[00:53:30] 那主管的心態就完全改變了
[00:53:33] 因為他的團隊裡頭
[00:53:34] 已經有AI同事
[00:53:35] 是AI員工了
[00:53:36] 所以主管的心態
[00:53:38] 不能只是純粹管理人的概念
[00:53:41] 他要注意到
[00:53:42] AI做不到很多情感連結
[00:53:44] 彈性應變
[00:53:45] 那AI的道德判斷
[00:53:47] 我們現在也沒有能力
[00:53:49] 知道AI的能力
[00:53:50] 到底會不會犯太多的錯誤
[00:53:52] 可是主管心態
[00:53:54] 也不能立刻只是去擁抱
[00:53:57] 算力
[00:53:57] 擁抱token fee
[00:53:58] 因為AI不是萬能
[00:54:01] 不是每一件事情都做得到
[00:54:02] 所以主管的變革能力
[00:54:05] 也就要重新學習
[00:54:07] 他在機會跟風險中取得平衡
[00:54:10] 但最重要最重要的
[00:54:11] 主管的賦能者心態
[00:54:13] 在我很多的協助跟了解的過程中
[00:54:18] 發現一個組織的
[00:54:20] 最高的主管
[00:54:22] 他的擁抱AI跟參與AI
[00:54:25] 決定的這整個組織
[00:54:27] 擁抱AI的能力
[00:54:28] 好
[00:54:29] 那在很短時間內
[00:54:31] 最後跟大家做一些建議
[00:54:32] 比如說如果你是一個職場新鮮人
[00:54:35] 那有四個角度
[00:54:37] 你可以培養自己
[00:54:38] 一個就是我們問AI的能力
[00:54:40] 問問題才能解決問題
[00:54:42] 可是這是一個很特別的時代
[00:54:44] 我們花好多時間去學習解決問題
[00:54:47] 可是現在居然用問問題
[00:54:49] 相當一個管理者的角度
[00:54:51] 你就可以解決問題了
[00:54:52] 講得清楚
[00:54:54] 問得好就可以解決問題
[00:54:55] 另外你要知道
[00:54:56] 在什麼時間內用AI才可以
[00:54:59] 什麼事情AI可以用
[00:55:01] 什麼不能用
[00:55:02] 再下來呢
[00:55:04] 是AI成果的確保者
[00:55:05] 就是你要能夠管理AI
[00:55:08] 知道AI的正確性
[00:55:10] 正確性跟它的完成度
[00:55:12] 最後最重要的
[00:55:14] 我們說不管是拍型人才
[00:55:16] 或者是超級使用者
[00:55:18] 1%超級使用者
[00:55:19] 他們都有一個能力
[00:55:21] 剛剛智慧總編輯提到
[00:55:23] 其實就是那輛腳踏車
[00:55:25] 它會為自己打造一個
[00:55:27] 屬於自己最好職能成長的腳踏車
[00:55:32] 比如說一個懂行銷的資料分析師
[00:55:35] 你可能原來是一個行銷人員
[00:55:37] 你現在是非常懂資料
[00:55:39] 你可能是一個設計人員
[00:55:40] 你非常懂AI流程
[00:55:42] 那麼這些改變呢
[00:55:43] 都需要我們有人際關係的
[00:55:46] 跟軟實力的建構
[00:55:48] 那麼剛剛也提到
[00:55:50] 好那最後最後
[00:55:51] 希望大家把握這個AI時代
[00:55:53] 很多人都會覺得
[00:55:54] AI是一個帶來人類很大的衝擊
[00:55:57] 大部分人都會開始擔心
[00:55:59] 覺得會威脅
[00:56:00] 可是我們想想
[00:56:01] 人類慢慢悠悠悠歲月
[00:56:03] 也就只有我們這一代人
[00:56:05] 有這個機會
[00:56:05] 在AI時代把握成為第一代的
[00:56:08] 成功使用AI
[00:56:10] 我說他是一個AI的指揮家
[00:56:12] AI現在像一大堆腳踏車
[00:56:15] 相當於交響樂各種樂器
[00:56:17] 希望大家都可以成為
[00:56:18] AI時代最好的指揮家
[00:56:20] 不過這個跟坐飛機一樣
[00:56:22] 你要起飛前要繫好安全帶
[00:56:24] 謝謝
[00:56:25] 謝謝立鳳老師
[00:56:51] 剛才很精彩的一個分享
[00:56:53] 那我這邊有一些問題
[00:56:55] 想來跟立鳳老師請教
[00:56:57] 那當然也歡迎
[00:56:58] 就是我們現在說的
[00:56:59] 線上的朋友們
[00:57:00] 就是你有進一步的問題
[00:57:01] 也想來交流的
[00:57:02] 也歡迎在我們這個留言區
[00:57:04] 可以打進來
[00:57:06] 那我首先想請教
[00:57:07] 因為我們看到就是說
[00:57:09] 像剛才談到
